id,lastname,firstname,organization,email
1,Gomis,Susantha,Memorial University of Newfoundland,gomis@muon.ca
2,Murphy,Jennifer,École de technologie supérieure,murphy@edts.ca
3,Blanchard,François,University of Waterloo,blanchard@uow.ca
4,Heppler,Glenn,University of Guelph,heppler@uog.ca
5,Hymers,Devin,University of Waterloo,hymers@uow.ca
6,Li,Matthew,McGill University,li@mu.ca
7,Gale,Charles,University of Ontario Institute of Technology,gale@uooiot.ca
8,AbdelMalek,Daniel,University of Alberta,abdelmalek@uoa.ca
9,Mousavi,Pedram,Brock University,mousavi@bu.ca
10,Nikonov,Georgii,University of Alberta,nikonov@uoa.ca
11,Martinek,Nicole,University of Manitoba,martinek@uom.ca
12,Stefaniuk,Heather,Princeton University,stefaniuk@pu.ca
13,Grainger,Tess,University of Manitoba,grainger@uom.ca
14,Reimer,Tyson,University of Alberta,reimer@uoa.ca
15,Hu,Yaozhong,University of British Columbia,hu@uobc.ca
16,Scoble,Malcolm,Royal Melbourne Institute of Technology,scoble@rmiot.ca
17,Benoit,Michael,McMaster University,benoit@mu.ca
18,Zheng,Rong,University of Victoria,zheng@uov.ca
19,Ahmadi,Keivan,University of Calgary,ahmadi@uoc.ca
20,Birss,Viola,Université de Montréal,birss@udm.ca
21,Courville,Aaron,Wilson Analytical,courville@wa.ca
22,Yoon,Jiyoung,University of Waterloo,yoon@uow.ca
23,AlKiswany,Samer,University of Western Ontario,alkiswany@uowo.ca
24,Subasri,Mathushan,University of Waterloo,subasri@uow.ca
25,Butcher,Cliff,University of Toronto,butcher@uot.ca
26,Valaee,Shahrokh,University of British Columbia,valaee@uobc.ca
27,Ramankutty,Navin,University of Alberta,ramankutty@uoa.ca
28,Lewis,Mark,University of British Columbia,lewis@uobc.ca
29,Mohseni,Madjid,University of Alberta,mohseni@uoa.ca
30,Porter,Elizabeth,Simon Fraser University,porter@sfu.ca
31,Woodhall,Amanda,Queen's University,woodhall@qu.ca
32,Rokeby,Jameson,University of California - Berkeley,rokeby@uoc-b.ca
33,Ramkumar,Ritvik,McMaster University,ramkumar@mu.ca
34,Reinhardt,Eduard,University of Manitoba,reinhardt@uom.ca
35,Jackson,Michael,Aurora College,jackson@ac.ca
36,McAlister,Joel,University of Toronto,mcalister@uot.ca
37,Krkosek,Martin,University of British Columbia,krkosek@uobc.ca
38,Denson,Jacob,University of Western Ontario,denson@uowo.ca
39,Albakri,Karam,University of Alberta,albakri@uoa.ca
40,Huybregts,Lauren,University of Toronto,huybregts@uot.ca
41,Bufton,Jack,University of British Columbia,bufton@uobc.ca
42,Shim,YaeinAmy,University of British Columbia,shim@uobc.ca
43,Grecov,Dana,University of Toronto,grecov@uot.ca
44,Herzig,Florian,École de technologie supérieure,herzig@edts.ca
45,Bonev,Ilian,Université de Montréal,bonev@udm.ca
46,Costantino,Santiago,McMaster University,costantino@mu.ca
47,Conant,BrewsterAmory,Acadia University,conant@au.ca
48,Chipman,Hugh,Queen's University,chipman@qu.ca
49,Widrow,Lawrence,DIREXYON Technologies,widrow@dt.ca
50,Hillyer,Thomas,Index Exchange Inc.,hillyer@iei.ca
51,Kragl,Albert,University of Regina,kragl@uor.ca
52,Piechotta,Shelby,Université du Québec à Montréal,piechotta@udqam.ca
53,Marcotte,Isabelle,Lakehead University,marcotte@lu.ca
54,Uddin,Mohammad,University of Toronto,uddin@uot.ca
55,Broucke,Mireille,Society for the  Advancement of Young Scientists,broucke@sftaoys.ca
56,Poulton,Gerald,University of Toronto,poulton@uot.ca
57,DeNil,Luc,University of Alberta,denil@uoa.ca
58,Kennedy,JeremiahJames,McGill University,kennedy@mu.ca
59,Brochu,Mathieu,York University,brochu@yu.ca
60,Zhu,Hongmei,New Brunswick Community College,zhu@nbcc.ca
61,McIver,"Jr,William",University of Washington,mciver@uow.ca
62,Gao,Lucy,University of Toronto,gao@uot.ca
63,Mercan,Oya,Cégep de l'Abitibi-Témiscamingue,mercan@cdl.ca
64,Magdouli,Sara,Université du Québec à Montréal,magdouli@udqam.ca
65,Perrier,Léonie,University of Victoria,perrier@uov.ca
66,Boulanger,Martin,University of Ottawa,boulanger@uoo.ca
67,Williamson,Scott,Novabus,williamson@n.ca
68,Shum,CheukFai,Northeastern University,shum@nu.ca
69,AlimadadiJani,Saba,University of St Andrews,alimadadijani@uosa.ca
70,Sharples,Simon,University of Saskatchewan,sharples@uos.ca
71,YILMAZ,ORHAN,LuminUltra Technologies Ltd,yilmaz@ltl.ca
72,Fahie,Tristan,University of Victoria,fahie@uov.ca
73,Kavelaars,JJ,Genetec Inc.,kavelaars@gi.ca
74,Seth,Michael,Arkalumen Inc.,seth@ai.ca
75,Reid,Bradley,Evident Point Software Corp.,reid@epsc.ca
76,Wang,Jueqi,University of Victoria,wang@uov.ca
77,Paul,Adam,Université du Québec à Chicoutimi,paul@udqac.ca
